potZ,potRot,potY,potX,duration
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,0,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,76,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,102,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,65,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,20,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,98,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,46,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,118,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,94,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,108,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,60,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,97,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,68,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,99,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,107,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,54,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
64,64,64,64,1
